Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
System Idle Process	95.29	52 K	8 K	0		
System	0.69	156 K	144 K	4		
 Interrupts	0.40	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		464 K	1,228 K	332		
 Memory Compression	< 0.01	120 K	13,124 K	1540		
csrss.exe		1,516 K	4,692 K	444		
wininit.exe		1,352 K	6,152 K	520		
 services.exe		4,432 K	8,928 K	660		
  svchost.exe		932 K	4,608 K	796	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	9,036 K	24,200 K	820	Host Process for Windows Services	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	25,776 K	69,912 K	2160	Windows Shell Experience Host	Microsoft Corporation
   SearchUI.exe	Suspended	47,432 K	92,840 K	3984	Search and Cortana application	Microsoft Corporation
   RuntimeBroker.exe		3,132 K	17,952 K	5160	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		5,456 K	15,460 K	5204	Runtime Broker	Microsoft Corporation
   SkypeBackgroundHost.exe	Suspended	1,852 K	10,420 K	5684	Microsoft Skype	Microsoft Corporation
   ApplicationFrameHost.exe		4,408 K	20,692 K	7544	Application Frame Host	Microsoft Corporation
   WmiPrvSE.exe		9,560 K	16,428 K	7460		
   dllhost.exe		2,016 K	10,060 K	4716	COM Surrogate	Microsoft Corporation
   smartscreen.exe		12,880 K	26,640 K	2772	Windows Defender SmartScreen	Microsoft Corporation
  svchost.exe	< 0.01	5,808 K	12,036 K	908	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,148 K	7,724 K	956	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,968 K	7,276 K	360	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,008 K	9,960 K	1028	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,740 K	11,680 K	1048	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,584 K	14,916 K	1156	Host Process for Windows Services	Microsoft Corporation
   taskhostw.exe		5,760 K	14,764 K	4244	Host Process for Windows Tasks	Microsoft Corporation
   taskhostw.exe		5,384 K	16,368 K	7044		
  svchost.exe		12,568 K	15,840 K	1200	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	8,808 K	18,232 K	1220	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,568 K	11,116 K	1228	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	70,052 K	79,256 K	1336	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,876 K	8,076 K	1344	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,276 K	6,328 K	1352	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,032 K	8,844 K	1360	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,932 K	10,544 K	1440	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,080 K	9,032 K	1452	Host Process for Windows Services	Microsoft Corporation
   sihost.exe		5,448 K	23,424 K	3624	Shell Infrastructure Host	Microsoft Corporation
  svchost.exe		1,780 K	8,384 K	1564	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,236 K	7,924 K	1572	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,756 K	8,160 K	1656	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,980 K	10,348 K	1684	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,068 K	11,420 K	1772	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,892 K	12,688 K	1836	Host Process for Windows Services	Microsoft Corporation
   audiodg.exe		6,796 K	12,160 K	8148		
  svchost.exe		2,592 K	8,940 K	1892	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,732 K	6,760 K	1904	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,276 K	8,808 K	1916	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,212 K	8,900 K	1928	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,664 K	12,828 K	2012	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,012 K	11,732 K	2024	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,932 K	7,776 K	2084	Host Process for Windows Services	Microsoft Corporation
